PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
650	0	com.apple.progressd
928	0	com.apple.cloudphotod
426	0	com.apple.MENotificationService
81226	0	application.com.coteditor.CotEditor.5419021.5419103
405	0	com.apple.Finder
503	0	com.apple.homed
1577	0	com.apple.dataaccess.dataaccessd
658	0	com.apple.SafeEjectGPUAgent
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
527	0	com.apple.mediaremoteagent
462	0	com.apple.FontWorker
414	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
55898	0	com.apple.knowledgeconstructiond
992	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
1122	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
383	0	com.apple.nsurlsessiond
89793	0	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
438	0	com.apple.iconservices.iconservicesagent
1359	0	com.apple.diagnosticextensionsd
2320	0	com.apple.intelligenceplatformd
1576	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
3037	0	com.apple.LinkedNotesUIService
407	0	com.apple.ndoagent
439	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
461	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
639	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.alfred.overnight-scheduler
-	0	com.alfred.rate-limit-recovery
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
440	0	com.apple.ManagedSettingsAgent
558	0	com.apple.photolibraryd
-	0	com.alfred.daily-inquiry
77535	0	application.com.google.Chrome.71676.5494170.A75DF8D5-3489-4A08-9C30-9B556077A3F6
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
574	0	com.apple.ThreadCommissionerService
1554	0	com.apple.tipsd
-	0	com.apple.stickersd
515	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
608	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
382	0	com.apple.CommCenter
372	0	com.apple.trustd.agent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
355	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
412	0	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.AutoFillPanel
-	0	com.apple.peopled
456	0	com.apple.replicatord
570	0	com.apple.keyboardservicesd
552	0	com.apple.accessibility.axassetsd
-	0	com.alfred.session-cleanup
430	0	com.apple.quicklook.ThumbnailsAgent
2468	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
375	0	com.apple.WindowManager.agent
394	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
1006	0	com.apple.webprivacyd
567	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
599	0	com.openclaw.imsg-responder
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
-	0	com.ollama.ollama
957	0	com.apple.voicebankingd
601	0	com.alfred.legal-bill-ai
-	0	com.apple.universalaccesscontrol
1021	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
399	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.systemprofiler
50586	0	com.apple.homeenergyd
385	0	com.apple.cloudd
9070	0	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
936	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
607	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.LocalAuthentication.UIAgent
1489	0	com.apple.ap.adprivacyd
694	0	com.apple.ap.promotedcontentd
386	0	com.apple.apfsuseragent
419	0	com.apple.networkserviceproxy
403	0	com.apple.controlcenter
63745	0	com.apple.AMPLibraryAgent
3229	0	com.openssh.ssh-agent
610	0	com.cloudflare.tunnel
695	0	com.apple.amsondevicestoraged
-	0	com.apple.tonelibraryd
948	0	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
524	0	com.apple.ctcategories.service
457	0	com.apple.ctkd
86091	0	com.apple.mdworker.shared.02000000-0700-0000-0000-000000000000
-	0	com.apple.package-script-service
395	0	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
950	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
621	0	com.apple.synapse.contentlinkingd
1088	0	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
406	0	com.apple.triald
-	0	com.alfred.maintenance-weekly
-	0	com.alfred.weekly-digest
368	0	com.apple.tccd
-	0	com.apple.nexusd
494	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
459	0	com.apple.replayd
361	0	com.apple.coreservices.uiagent
1188	0	com.apple.icloud.searchpartyuseragent
-	0	com.apple.AccessibilityVisualsAgent
-	0	com.apple.installd.user
1698	0	com.apple.privatecloudcomputed
-	0	com.apple.textunderstandingd
495	0	com.apple.akd
533	0	com.apple.CallHistoryPluginHelper
-	0	com.apple.mbproximityhelper
-	0	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
417	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
81313	0	com.apple.printtool.agent
602	0	com.apple.askpermissiond
6059	0	com.apple.USBAgent
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
12400	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
-	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
624	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
-	0	com.apple.remindd
-	0	com.apple.appsleep
423	0	com.apple.duetexpertd
497	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
448	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
369	0	com.apple.lsd
541	0	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
446	0	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.webkit.webpushd
1490	0	com.apple.weatherd
470	0	com.apple.cache_delete
589	0	com.alfred.market-signal-lab
-	0	com.apple.symptomsd-diag.agent
447	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
1065	0	com.apple.CallHistorySyncHelper
530	0	com.apple.colorsync.useragent
635	0	com.apple.analyticsagent
547	0	com.apple.appleaccountd
544	0	com.apple.parsecd
55745	0	com.apple.mlruntimed
402	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
398	0	com.apple.dmd
468	0	com.apple.transparencyd
504	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
356	0	com.apple.UserEventAgent-Aqua
523	0	com.apple.followupd
378	0	com.apple.identityservicesd
437	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
373	0	com.apple.generativeexperiencesd
56075	0	com.apple.XProtect.agent.scan
569	0	com.apple.storekitagent
1115	0	com.apple.security.DiskUnmountWatcher
